TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
175456846,13.8279,0.001924128,2918,0.172125,1.895679,0.01895679,1.65E+32,0.16754,0.137235947
176980970,13.2812,0.017939933,3257,0.421864,0.610887,0.00610887,1.35E+33,0.09596,0.321765313
177309964,13.1024,0.023293351,3215,0.493346,0.453341,0.00453341,1.17E+34,0.61848,0.355488805
177313167,12.8821,0.005567491,3197,0.243917,0.299575,0.00299575,2.97E+32,0.11331,0.205865958
177352893,12.5621,0.014698643,3290,0.374235,0.958129,0.00958129,1.22E+33,0.10921,0.298199786
177353450,12.5512,0.017739756,3381,0.389297,0.583447,0.00583447,1.50E+33,0.09413,0.320390209
177389302,13.5354,0.009701931,3073,0.348499,3.250794,0.03250794,6.60E+32,0.11686,0.254474976
179315999,13.0583,0.011470532,3115,0.368785,0.61466,0.0061466,2.87E+32,0.11312,0.271270685
183306102,13.72,0.003607234,3075,0.212224,0.477337,0.00477337,4.09E+32,0.07614,0.174439011
183535753,13.9585,0.00512193,3165,0.238708,0.978734,0.00978734,5.11E+32,0.48851,0.199415019
183984201,12.7568,0.03907487,3442,0.557474,4.334392,0.04334392,3.20E+33,0.06869,0.433087994
188626183,13.9405,0.010354312,3096,0.354696,1.525379,0.01525379,2.21E+33,0.29662,0.260875032
197598732,10.9903,0.011436707,3310,0.326131,0.6321,0.006321,1.75E+32,0.05589,0.270965086
197757864,13.1603,0.00723602,3212,0.275484,0.9735,0.009735,5.58E+32,0.1383,0.227528081
197790801,12.4344,0.01297406,3311,0.34715,1.0232,0.010232,5.96E+32,0.04305,0.284328108
197829751,11.5508,0.0126951,3260,0.354226,3.085499,0.03085499,9.10E+32,0.05067,0.281979036
197866266,12.0881,0.007060523,3164,0.280442,1.685597,0.01685597,4.45E+32,0.15283,0.225405856
197884260,12.8374,0.026130503,3248,0.511964,3.323116,0.03323116,2.18E+33,0.11785,0.371430668
197891904,12.9258,0.031537413,3496,0.485476,1.54275,0.0154275,3.48E+33,0.10675,0.399073309
